3	3646710842 1541194342 3737201527 202434782
4	2907343964 1592942844 439887702 2518960815 903704099 392118562 3190487183 2494606739 1567625885 609520376 2774979731 2699943430 1940454281 1908640921 2744718424 1130262497 3228920228 2918242957 1393131093 657023663 3686202689 579168380 2349532408 3175446289 4032507545 3490940311 2136924376 1137793888 660727847 2211339155 2679117872 2248835841 869678384 3944491193 2165821325 3145671921 2247951261 33243843 2672296668 1497661169 1227620175 1226267840 266097326 3178118229 3148493051 3014530407 1223908027 2182426737 2628561815 3334055668 4101617080 1415203115 3524331898 977486300 1935583979 745408316 3349047710 3948061214 1704289838 3906290583 2304558403 2179842458 998733568 540712517 3633063869 4041896616
5	3088506898 1092363222
7	1310828206 3570446385 3814580949 270446369 1356805833
8	2140118250 159030436 37079504 2915269960
9	1355226404 2944039460 608296540 31923339 639235466
10	3545318300 3133831714 1492948894 2391596358 125825848
13	4191599861 4179036902 1405069273 1148174133 2175787752 2745781563 2429294844 1761295717 1610925515
15	2058162597 2116174066 2430985712 2189246786 1588373514
16	750854610 230142361 2092140617 2779648274 2280474589 3852525661 819296210 682029112 304764725 2840091951 1239341265 2244826155 2331754189 1662510701 471159387 3743727395 4075308809 446579891 443358043 655463792 4171498841 1002708174 71636060 1450323396 1384981612 2463862318 1936930953 4123926983 640104537 3593411118 1700716135 2578024692 3309686105 61417609 1838210153 2801136660 4211070550 3279248461 1070360364 17311382 2895013299 131483438 2768571751 3617212457 436190814 3215120451 2434125878 315707090 3982455259 3241313680 4205054833 2467955352 1547006379 1324291736 2851676524 1512679715 738158380 4070249784 1156044903 2912430411 1036626921 1901191760 3449236073 1054314405 4149585576 4072808162 2216401472 2571524210 1072009617 1950361709 2602611044 2169036706 2491774543 658112686 861386384 4237131015 1088613745 635976562 1046227788 3621721125 3290810731 1926955175 3872656081 2044302921 2913849529 1028675512 1464231650 4145695145 3716918757 2556186386 1797761942 3153113437 2806990905 646023741 3556589008 2245263479 2008098571 650640084 3515220171 1874314352 2488664723 1701746662 3955907079 1250988775 1400796 4132756070 2763933755 3105600950 1349096183 366643175 3320885607 1985390110 821733819 1102527065 3612691788 3677218213 2622219579 2151245410 2519075023 1975238418 541957888 364055101 2236592225 3036440988 4206567527 3616628353 4141617348 2240178028 3392188717 2457153264 264897028 3102862594 1246587590 1023565524 1986308095 1075519493 3443733201 3443782457 683856593 1387800965 2779758519 1930789445 3047050656 3181744356 3903818287 2199206884 2943350164 4105597306 2606733219 2981548221 4199835862 2815570317 1694866273 214255578 3966980104 2347027874 1480427437 954222706 1493310919 1889490335 1126798519 2876636560 375844164 2288300089 105675271 1902305486 3568168892 2967063701 1928699240 513061191 261767071 652866012 1629322561 1548827068 1245943634 4067598621 2001071350 3086680408 1342786385 1102132889 489332113 2093191676 1526914295 982980391 498815415 4225391698 4019273075 3198403418 724667724 3121629042 2852512357 1174178231 3395369580 2823605907 595158323 2443591060 3103516506 2202072096 4229261135 1605074812 2356539033 2389858410 608471573 2590514377 1004315580 3100173087 4215518496 2342927230 4062718593 665656083 1246979769 1032982645 2295632220 1267585967 1952447453 637214545 1245238282 710345462 4098169701 738153968 4208722248 1245958976 3515290433 1466737269 250023578 674847061 3911180091 3386166372 841509577 3201221080 440601796 546580684 338551625 1604380522 2128482901 1987463088 2346619568 3810185358 3586044863 1658410060 997002474 3275741582 1579223114 4002015544 3435830356 1751307424 4033835330 420933546 392608938 2749241141 2432660103 3120771549 469543209 1364629810 3054025396 3886345337 3656395935 1294792539 1979905554 1407116158 798327926 2253738712 2370994522 875746985 1464439929 3231110483 914904354 3070959716 4072361659 3770143339 501666124 2755657051 614781724 4168915973 3660553256 4206632630 367401170 588395709 460303488 923292026 1734274261 3148931077 3986628373 274957955 2106641298 1897984395 3059457373 1538651028 4052732721 463151153 3675692313 3897634409 192779468 1385994811 3120157122 1391898349 3087370717 277794302 2577985093 2670919773 4260276413 1732138011 4124369446 422374031 933233776 3956754922 4224285214 423172335 3723112000 2681039313 2408684488 2048175799 2085931238 2118561168 669157371 2981398758 996161957 865247504 812361378 1283677477 3408056558 2403640411 639995545 912711687 3323183519 1877447912 465483332 977447113 1517465878 23593891 1592181693 4185020495 2846548272 869161061 2677834203 3540645150 857272208 719676467 3161645498 3270038375 3967963535 1148317067 3691863500 1685674052 1187157273 3491729042 4261668857 1717284886 2692996351 4002205386 2747118221 4000229946 2628810027 2230296586 755960597 2708529354 1881013052 1899328515 354307410 2261255192 1887041568 4232093282 3029999833 3004512404 4150898059
18	969055726 747638213 1725229776 1616518384 2520456989 590297624 2400731503 2295375807 973679121 1172361136 2598279948 3756309773 4009959902 562395473 2425294144 1005756741 3349441428 2518309314 2941417048 2380749906 1884862287 66984105 504400102 3823273607 1323551312 1912059312 4143689057 938352645 2296694232 1422814317 2219173209 3354306775 390681921 2705851125 3644516929 3607817425 739010538 1478790906 238414034 2198600572 2442298759 336140231 2213012791 975985791 3845493196 3208409461 1134685147 1956178243
20	929393358 1771778432
21	1317722828 188625087 287269316 601273657 208056188 4105674307 1559168141 2762802782 623841371 363803813 3449330568 3528664644 1292777455 1521207725 2656217146 2202564311 482245437 3612560976 3158880725 2267036395 3376973494 1803328242 2678581018 3361243500 470423476 3809720636 1100522243 3159135157 1439439343 1840665649 3778455410 1712737548 2775254139 1141245742 1737370242 1669438538 2460457638 2600535171 24740922 1510390698 927399650 3830382370 3545811278 3830847919
22	3524326228 3725766398
23	3802293816 1037894315 1822091528 4201729514 1823495947 4125150702 625095412 1445182037 2642089942 3967815410 2283870468 1079793786 3448053735 769482453 1373883864 2658811053 1401360945 555081211 465739610 417888465 3790815461 2302809351 4104928393 1175896315 471855185 4130180303 552334370 2515727123 196660660 3702770549
24	181968181 3622260668
25	4236087068 86643516 1626533326
26	3988010033 2329210556 2754621272 1888595514 367737656
27	3693718389 1634357765 3913355329 2271669690 1318999818 2808098283 3365718783 2321793154 1341129233 1828115057 2529124304 500930903 374734868 3878409406
28	4026984722 139936645 540651946
