0	0 3 719 1
2	12 13
3	0 27 6 34
4	3 27 6 7 35
5	40 37
6	0 40
7	43 0 31 42
8	0 51
10	0 56
11	0 31
14	0 26
15	49 24
16	68 26
17	0 27 24
18	24 27 49 94 0 92
19	0 97
20	3 8 9
21	31 97
22	0 42
23	214 32 65 303 41 393 0 818
24	169 234 51 39
25	0 24
26	3028 8825 3071 3770 500 116 6064 576 3041 2330 10391 4423 11871 6116 168 3334 6592 4439 5712 15041 3615 173 7869 2542 1805 3382 738 3040 646 172 17917 242 265 783 1288 3299 166 6916 1101 2952 2914 2949 6221 3773 13632 719
27	51 64 168
28	12 24
29	0 212
30	0 68
31	213 50
32	236 1 75 26 166 307 24 281 303 49 64 287 157 0 119 113 719
33	0 49 24
34	959 371 24 938 2190 818 181 1758 1602 3334 20218 287 157 2607 338 2079 12 2862 2173 2437 379 2732 1009 2909 2517 405 648 1094 2431 1601 2860 2239 3 726 2086 2189 1860 2303 1921 995 978 2578 2824 2896 68 182 2321 0 2195 2145 2719 3170 3354 204 303 225 719 97 2262 1858 141 3030 662 2449 2812 281 2997 2330 1820 777 343 307 3110 3240 3438 2124 257 3526 1606 2586 2681 52 1288 51 1101 315 256 770 2142 34 1814 3015 2514 3694 415 2286 229 290 363 2728 2479 208 41 725 5 696 1451 1410 334 861 350 113 812 2318 1 3188 166 2473 2356 1303
35	0 214
36	221 6 223
